DateTime,AddedIPs,RemovedIPs
1557749323,1,0
1557755091,3,0
1557757020,1,1
1557758876,1,0
1557760856,2,2
1557762857,1,0
1557764685,1,2
1557766640,1,1
1557768549,1,1
1557770604,0,1
1557772608,0,1
1557778617,0,2
1557780507,1,0
1557782462,1,0
1557786292,2,2
1557788211,0,2
1557790101,1,3
1557793947,1,0
1557799982,0,1
1557801866,0,1
1557804072,0,1
1557811740,0,1
1557813734,3,0
1557815569,1,1
1557817564,3,0
1557821549,3,3
1557823769,0,1
1557827566,0,2
1557829469,1,0
1557831428,0,2
1557835299,1,1
1557837170,1,0
1557841000,1,0
1557842935,0,1
1557845092,0,12
1557847014,0,1
1557848944,2,2
1557850850,0,1
1557852805,0,1
1557854667,0,1
1557860556,2,0
1557862395,2,0
1557864351,3,0
1557866241,1,0
1557868153,1,3
1557870044,2,0
1557873904,1,1
1557875841,1,0
1557879664,1,2
1557891404,1,0
1557895507,5,0
1557897437,3,0
1557899323,0,1
1557901279,0,3
1557903179,1,1
1557905116,1,1
1557906986,0,2
1557908919,1,2
1557910955,1,2
1557915149,1,0
1557917060,2,1
1557919002,3,1
1557920933,2,1
1557922844,0,1
1557928572,0,2
1557932518,2,0
1557934341,1,2
1557936262,1,1
1557938194,2,0
1557945859,0,2
1557947813,1,0
1557949699,0,4
1557951652,0,2
1557953535,1,0
1557955495,0,1
1557957375,0,2
1557959291,1,0
1557961281,2,2
1557967010,0,1
1557972782,1,0
1557978511,0,1
1557980452,1,1
1557982338,0,5
1557984263,0,2
1557986185,1,0
1557988121,1,1
1557990111,1,0
1557991982,1,1
1557995787,934,2
1557997944,1310,0
1557999857,190,0
1558001784,2,1
1558004161,1,1
1558006093,0,4
1558015967,1,0
1558017862,1,2
1558019829,2,0
1558022988,6,0
1558024848,0,1
1558026762,1,0
1558028678,3,0
1558030618,4,0
1558032531,0,1
1558034435,1,0
1558038281,1,0
1558042130,1,0
1558046471,0,1
1558048377,1,0
1558050273,0,1
1558052190,1,0
1558056757,1,0
1558058748,0,1
1558060591,1,0
1558062511,1,0
1558066371,1,0
1558068283,0,1
1558072097,0,1
1558075972,0,2
1558077873,1,2
1558083645,2,0
1558085552,2,0
1558087498,1,2
1558091559,0,1
1558097302,1,0
1558099220,1,0
1558101168,0,1
1558103063,0,1
1558106924,3,2
1558109214,2,4
1558111250,4,0
1558113881,3,1
1558115790,3,6
1558117713,0,1
1558119743,1,1
1558121574,1,0
1558125630,0,1
1558127568,1,1
1558131517,1,0
1558133857,1,1
1558137924,1,0
1558139810,1,1
1558141752,1,0
1558143885,0,1
1558145834,1,0
1558148209,1,2
1558150130,1,0
1558152322,0,1
1558156623,2,0
1558158561,1,1
1558164514,2,1
1558166590,1,0
1558168613,1,0
1558170520,1,2
1558172435,0,2
1558174360,1,2
1558178187,0,661
1558180103,2,0
1558182054,2,0
1558183981,3,1
1558185862,0,1
1558187806,1,0
1558191768,1,1
1558193801,3,745
1558195969,1,618
1558197912,1,424
1558199807,1,1
1558201719,0,3
1558205551,0,1
1558207471,0,1
1558211305,1,0
1558213372,1,1
1558215174,1,0
1558217069,2,1
1558219013,1,2
1558220945,2,0
1558224747,0,1
1558226696,0,1
1558228590,1,1
1558230501,1,0
1558232440,0,1
1558236265,0,2
1558242191,1,0
1558244181,1,3
1558250015,1,0
1558251869,0,2
1558253805,0,1
1558255697,2,1
1558257613,0,2
1558261454,0,1
1558263370,1,0
1558265299,1,0
1558267283,0,4
1558269177,1,3
1558271076,1,0
1558272977,1,0
1558274920,1,0
1558276827,2,1
1558278783,1,1
1558280672,1,3
1558282530,1,1
1558284504,0,1
1558286443,0,1
1558288476,1,1
1558290279,1,0
1558296105,1,0
1558297961,0,1
1558299907,0,1
1558301786,1,1
1558303739,0,1
1558305627,1,1
1558307543,2,2
1558309492,1,0
1558311680,5,0
1558313542,2,0
1558315479,0,1
1558317408,2,1
1558319306,1,0
1558325583,1,0
1558327494,1,0
1558329658,2,1
1558331545,1,0
1558333486,1,0
1558339315,1,0
1558341185,1,0
1558343151,2,1
1558345008,1,0
1558348848,3,1
1558350753,1,1
1558354603,0,1
1558356770,0,1
1558358667,0,1
1558360608,0,2
1558362505,1,2
1558364436,1,1
1558366369,1,1
1558368291,1,1
1558370203,0,1
1558372110,1,0
1558375956,0,1
1558377861,1,0
1558383647,1,1
1558385560,2,0
1558387472,0,1
1558389416,2,0
1558391328,1,1
1558393331,1,2
1558395180,1,1
1558397088,1,1
1558398981,4,5
1558400924,3,0
1558402854,1,1
1558404753,1,1
1558406682,1,2
1558408615,0,1
1558412463,0,1
1558414353,0,1
1558416267,1,3
1558418204,1,1
1558420123,2,1
1558422156,0,2
1558424187,2,0
1558426106,0,1
1558428021,2,2
1558429940,0,1
1558431851,1,1
1558433777,1,0
1558435705,0,4
1558437633,2,0
1558441468,1,0
1558443372,2,0
1558447295,1,0
1558449140,0,1
1558450982,1,1
1558453246,2,2
1558457004,0,1
1558459005,1,0
1558460926,4,0
1558462978,2,1
1558465015,3,0
1558466907,1,0
1558469002,1,1
1558471008,2,1
1558474831,3,1
1558476761,1,2
1558479807,2,1
1558481806,1,1
1558483720,0,1
1558485657,1,4
1558487548,0,3
1558489477,1,2
1558493326,1,1
1558497426,3,0
1558499338,1,0
1558501382,0,1
1558503186,4,0
1558505168,3,1
1558507108,206,2
1558508973,622,0
1558510861,888,1
1558512770,735,0
1558514711,0,2
1558516645,1,0
1558518538,1,0
1558520440,1,1
1558522398,1,0
1558524319,0,2
1558528116,0,1
1558534146,1,1
1558536054,1,0
1558538572,0,1
1558544167,1,0
1558546143,1,2
1558548135,1,3
1558550946,1,4
1558554763,0,2
1558556669,1,1
1558558602,3,0
1558562457,0,1
1558564377,2,0
1558566294,0,1
1558568210,0,1
1558570131,1,0
1558572047,1,1
1558573955,1,0
1558575874,0,1
1558577815,2,0
1558579718,0,1
1558583553,0,1
1558585468,0,1
1558589311,3,3
1558591534,0,2
1558593401,1,0
1558599412,1,0
1558601351,1,0
1558603245,1,1
1558605170,0,3
1558609414,0,1
1558611411,1,1
1558615224,1,0
1558617415,4,0
1558621513,0,1
1558623394,1,1
1558625314,1,0
1558629285,0,1
1558631236,2,1
1558635163,1,1
1558637095,0,1
1558642866,2,1
1558644770,1,2
1558646924,1,0
1558651013,0,1
1558656799,0,1
1558658673,1,1
1558660607,1,1
1558664481,1,2
1558666395,2,0
1558668294,1,0
1558672160,1,0
1558674199,1,256
1558676195,1,907
1558678112,1,791
1558680029,2,510
1558681969,3,0
1558683924,2,0
1558685802,1,0
1558688005,0,1
1558691806,0,1
1558693727,4,1
1558695765,1,0
1558697776,2,1
1558699827,3,1
1558703792,3,4
1558705959,1,0
1558709791,0,2
1558711736,0,1
1558713782,1,1
1558715821,1,0
1558717737,0,2
1558721814,0,3
1558725522,312,0
1558727547,737,0
1558729489,696,2
1558731387,726,1
1558733592,0,1
1558740039,2,0
1558741983,0,1
1558743902,2,0
1558745800,1,1
1558751614,1,2
1558753543,0,1
1558755407,0,1
1558759256,1,1
1558761157,0,1
1558763095,1,1
1558766936,0,2
1558768842,0,4
1558770796,3,0
1558772695,1,1
1558774595,1,0
1558776532,1,0
1558780586,3,4
1558782499,1,2
1558784439,2,0
1558786344,1,3
1558788280,1,0
1558790177,1,3
1558797860,5,1
1558799800,1,1
1558801730,1,1
1558809619,0,1
1558811557,0,173
1558813467,0,707
1558815388,1,684
1558817571,1,906
1558821725,1,0
1558823558,1,0
1558825497,0,1
1558827387,4,1
1558829315,2,2
1558831242,1,0
1558833145,2,1
1558835078,2,0
1558837015,1,1
1558838920,1,0
1558840851,2,0
1558844663,1,1
1558848545,703,0
1558850560,825,2
1558852399,633,0
1558854304,315,0
1558856187,0,1
1558858119,1,1
1558860024,1,1
1558863871,0,1
1558867748,0,4
1558869652,1,1
1558871566,1,1
1558873498,1,1
1558875412,0,1
1558877310,0,1
1558883117,0,2
1558884985,1,3
1558887187,2,1
1558891017,1,0
1558892902,2,0
1558896784,1,0
1558898693,1,0
1558900601,5,0
1558902501,0,1
1558906578,1,0
1558908512,1,1
1558910418,0,1
1558912361,1,0
1558914289,3,3
1558916449,3,1
1558920273,0,1
1558922195,1,2
1558924109,1,1
1558926153,1,1
1558927987,1,1
1558929937,0,1
1558931784,1,0
1558933757,3,159
1558935651,3,869
1558937837,1,766
1558939734,0,688
1558941659,1,0
1558943578,0,1
1558945475,0,1
1558949314,1,0
1558951408,1,1
1558955571,0,1
1558957469,0,1
1558959429,1,1
1558965378,1,0
1558970453,0,1
1558973457,0,2
1558978030,2,3
1558980635,0,1
1558982485,1,1
1558985238,0,1
1558988658,3,5
1558990539,4,0
1558992548,1,2
1558994592,1,1
1558996604,1,0
1558998533,1,3
1559000438,3,3
1559002371,0,3
1559006182,1,0
1559010273,1,3
1559014101,4,3
1559016202,1,0
1559018182,1,1
1559020094,1,3
1559022036,2,3
1559023940,2,1
1559027774,0,1
1559035462,0,1
1559037424,1,1
