DateTime,AddedIPs,RemovedIPs
1556845660,2,1
1556849242,1,2
1556852843,2,2
1556856450,1,2
1556860038,2,3
1556863641,0,1
1556867239,1,0
1556870835,1,1
1556874444,0,1
1556881622,1,2
1556885236,1,0
1556888824,2,2
1556892441,2,1
1556896024,1,1
1556903240,0,2
1556906837,1,2
1556910446,0,1
1556914043,1,0
1556917635,1,0
1556921224,2,1
1556924827,1,0
1556928473,2,1
1556932043,0,2
1556935651,1,0
1556939240,0,1
1556942831,0,1
1556946434,1,0
1556957233,0,1
1556964452,1,0
1556968044,0,1
1556971653,1,0
1556975252,2,0
1556978857,2,2
1556982440,1,0
1556986036,1,2
1556989635,1,2
1556996844,0,1
1557004033,0,1
1557011244,1,0
1557019006,1,1
1557022115,1,0
1557025634,0,1
1557029239,2,1
1557032848,2,2
1557040033,0,2
1557050855,0,1
1557058033,1,0
1557061650,1,0
1557065236,1,0
1557068837,2,1
1557072452,1,1
1557076058,1,2
1557079640,0,2
1557083250,0,1
1557094040,1,0
1557101264,0,1
1557104826,1,0
1557108428,1,0
1557115639,2,1
1557119244,0,2
1557122840,2,0
1557126446,2,1
1557130039,1,1
1557133639,1,2
1557137257,1,2
1557140855,1,1
1557144447,2,0
1557148047,1,1
1557151640,1,2
1557155246,0,1
1557158867,0,1
1557162451,1,1
1557166034,1,1
1557169627,1,0
1557173235,1,2
1557176839,1,1
1557180432,1,1
1557184046,2,0
1557187605,2,0
1557191236,2,2
1557194848,0,1
1557198432,1,2
1557202027,0,1
1557205640,2,0
1557209246,1,1
1557212845,1,1
1557216435,0,1
1557220042,1,1
1557223652,2,0
1557227221,2,2
1557230839,0,1
1557234427,2,2
1557238035,1,2
1557245245,1,1
1557248828,2,1
1557252433,1,0
1557256039,0,1
1557259636,0,3
1557263242,1,1
1557266840,2,0
1557281239,1,1
1557284852,1,1
1557288436,1,0
1557292065,1,0
1557295646,0,1
1557299246,1,2
1557306430,1,0
1557310056,1,2
1557313654,1,0
1557317244,1,0
1557320843,2,1
1557324453,0,2
1557328044,2,1
1557331648,1,2
1557338852,0,2
1557346047,1,0
1557353250,1,0
1557356837,1,1
1557360445,1,0
1557364357,1,2
1557371307,1,2
1557374853,2,1
1557378455,2,0
1557382042,2,1
1557385652,0,2
1557389248,2,2
1557392843,2,0
1557396450,2,2
1557400038,2,2
1557403656,1,2
1557407256,1,2
1557410846,1,2
1557414457,0,1
1557418055,2,2
1557425252,1,0
1557428859,1,1
1557432464,2,0
1557436056,1,1
1557439659,3,3
1557443263,1,1
1557446870,1,1
1557454054,1,1
1557457662,2,1
1557461257,1,2
1557464863,2,1
1557468446,1,2
1557472055,2,0
1557475665,1,0
1557479242,2,2
1557482851,0,2
1557486457,2,2
1557490056,0,2
1557493792,1,1
1557500833,2,1
1557504444,2,1
1557508059,1,0
1557511653,2,2
1557515251,0,2
1557518848,0,1
1557526058,1,0
1557529657,1,0
1557533261,1,1
1557536865,2,2
1557540465,1,0
1557544066,2,2
1557547664,0,1
1557551260,0,2
1557558452,1,0
1557569256,0,1
1557576451,1,0
1557580057,1,0
1557583661,2,0
1557587263,2,2
1557590860,1,1
1557594462,0,2
1557598044,0,2
1557601654,2,3
1557605259,1,0
1557608850,2,0
1557612462,0,2
1557616035,2,0
1557619668,2,2
1557623252,1,0
1557626859,1,1
1557630473,1,1
1557634059,0,2
1557637650,1,2
1557641262,0,1
1557648471,1,0
1557652056,1,1
1557655663,1,0
1557659247,1,0
1557662860,1,1
1557666457,2,1
1557670061,1,1
1557673662,1,2
1557677267,1,2
1557680859,0,1
1557698884,0,1
1557702471,2,1
1557709792,0,2
1557713609,1,0
1557716853,1,0
1557720462,1,0
1557724046,1,1
1557727657,0,1
1557731254,2,1
1557734836,0,1
1557738428,1,0
1557742039,1,1
1557745656,1,1
1557749242,2,1
1557752826,1,0
1557756458,1,2
1557760026,2,0
1557763646,2,2
1557767252,1,2
1557770845,0,1
1557774447,1,2
1557778052,1,0
1557781644,0,1
1557788840,0,1
1557796045,1,0
1557799645,2,0
1557803244,0,1
1557806849,0,1
1557810436,2,2
1557814053,1,0
1557817654,1,0
1557821245,2,1
1557824833,1,2
1557828432,2,0
1557832047,2,0
1557835634,0,4
1557839248,1,1
1557842839,1,3
1557846441,0,1
1557850045,2,0
1557853638,1,1
1557857235,1,0
1557860836,1,2
1557868043,0,1
1557871637,0,1
1557875247,1,1
1557878861,1,0
1557882426,1,1
1557886037,1,1
1557889643,1,1
1557893238,1,0
1557896845,1,1
1557900454,1,1
1557904060,1,1
1557907654,1,2
1557911246,1,1
1557914859,1,1
1557922063,1,0
1557925653,1,1
1557929251,1,1
1557932866,2,1
1557936462,0,1
1557940060,0,1
1557943655,2,1
1557947241,1,0
1557950850,0,1
1557954449,0,2
1557965240,2,0
1557968853,2,1
1557972450,2,1
1557976052,1,1
1557979646,2,2
1557983243,1,1
1557986832,2,0
1557990445,1,2
1557994041,1,2
1557997649,1,1
1558001232,1,1
1558004836,2,1
1558008441,1,2
1558012031,1,0
1558015646,0,1
1558019239,1,2
1558022846,1,2
1558030035,2,1
1558033639,0,1
1558037240,1,0
1558040837,1,0
1558044433,0,1
1558048036,2,2
1558051628,1,2
1558055305,2,0
1558059009,1,1
1558062815,0,2
1558066048,2,2
1558069647,1,0
1558073247,1,0
1558076848,2,2
1558084039,2,1
1558087639,1,2
1558091248,2,1
1558094835,0,2
1558098442,1,1
1558102056,2,2
1558105645,1,2
1558109240,2,1
1558120039,0,2
1558127250,1,0
1558130840,0,1
1558134519,2,0
1558138063,2,1
1558141651,0,1
1558145240,1,1
1558148841,2,2
1558152429,1,0
1558156065,0,2
1558159641,0,1
1558163253,1,1
1558181253,0,1
1558184854,2,0
1558188456,2,0
1558192037,0,1
1558195649,2,2
1558199249,0,2
1558202847,1,0
1558206456,1,1
1558213647,0,1
1558224450,0,1
1558228055,1,1
1558235241,1,0
1558238845,1,1
1558249651,1,0
1558260446,0,1
1558264041,0,1
1558267649,2,0
1558271237,2,0
1558274856,1,1
1558278449,2,2
1558282057,1,1
1558285655,1,0
1558289252,0,2
1558292855,0,2
1558300045,0,1
1558303650,1,0
1558314449,2,1
1558318074,1,0
1558321665,1,1
1558325248,1,2
1558336060,0,1
1558339661,0,1
1558350459,1,0
1558354066,1,0
1558357666,2,0
1558361260,0,1
1558364863,1,1
1558368476,2,2
1558372072,2,2
1558375665,1,0
1558379262,1,2
1558382871,0,2
1558386439,1,0
1558390064,1,1
1558404828,2,1
1558408065,1,0
1558411656,2,1
1558415268,2,2
1558418873,2,2
1558422456,1,2
1558426076,1,2
1558429667,2,1
1558433280,1,2
1558436868,2,1
1558440460,1,1
1558444072,0,1
1558447680,0,1
1558451266,1,1
1558454883,2,1
1558458465,1,0
1558462071,0,1
1558465643,0,2
1558469258,0,1
1558472872,0,1
1558476473,1,0
1558480067,1,0
1558490864,2,2
1558494454,1,1
1558501659,1,1
1558508858,1,1
1558512452,1,1
1558516034,2,0
1558519667,1,0
1558523252,0,1
1558526862,1,0
1558530474,1,1
1558534051,0,1
1558537652,1,2
1558541240,0,1
1558544860,2,1
1558548446,2,1
1558552055,1,0
1558555646,1,3
1558559254,1,2
1558570038,1,0
1558573639,2,0
1558577243,2,2
1558580839,1,1
1558584445,2,2
1558588041,0,2
1558591640,1,1
1558595234,1,1
1558598837,2,1
1558606037,0,2
1558609628,2,2
1558613242,2,0
1558616847,1,0
1558620436,1,2
1558624056,1,1
1558627652,1,2
1558631248,1,2
1558634839,2,0
1558638436,1,1
1558642039,0,2
1558649237,0,1
1558663642,2,0
1558670845,2,0
1558674441,1,2
1558678050,1,1
1558681640,1,1
1558685248,1,1
1558688839,2,1
1558692449,0,2
1558696032,1,0
1558699646,1,2
1558703241,2,2
1558710441,1,0
1558714039,2,2
1558717643,0,2
1558724846,0,2
1558728448,2,0
1558742877,1,0
1558746702,1,0
1558750043,1,1
1558757257,0,1
1558760957,2,2
1558768047,1,1
1558771656,0,2
1558778846,1,1
1558782450,1,0
1558786043,0,1
1558789634,2,0
1558793251,2,0
1558800453,1,1
1558804042,2,2
1558807661,0,1
1558811241,0,2
1558836447,2,1
1558840054,1,0
1558843629,1,1
1558847244,0,1
1558858047,1,1
1558861648,1,1
1558865238,0,1
1558868836,1,1
1558872450,2,1
1558876024,2,0
1558879647,1,1
1558883247,0,2
1558886842,0,1
1558890450,2,1
1558894028,0,1
1558904843,1,0
1558912044,1,1
1558915658,0,1
1558919225,1,0
1558922828,2,1
1558926431,1,1
1558930052,1,0
1558933639,2,2
1558937245,2,1
1558940855,2,2
1558944446,2,1
1558948035,1,2
1558951647,1,2
1558955244,1,2
1558958844,1,1
1558962446,1,1
1558966044,0,1
1558973251,0,2
1558976850,2,2
1558980437,2,1
1558984042,1,0
1558991244,0,2
1558994831,1,1
1558998454,0,1
1559002059,1,0
1559005615,1,0
1559009243,0,1
1559012837,1,1
1559016440,2,0
1559020048,0,1
1559034448,2,1
1559038026,1,0
