DateTime,AddedIPs,RemovedIPs
1555365138,0,1
1555369350,0,2
1555376929,1,1
1555378844,0,1
1555386500,1,0
1555394220,0,1
1555402125,2,0
1555404026,0,1
1555405967,0,1
1555407882,1,1
1555411719,1,1
1555417483,0,1
1555425188,1,1
1555438600,1,1
1555446698,1,0
1555448700,0,1
1555466213,1,0
1555468113,0,1
1555472186,0,1
1555478470,0,1
1555480371,0,1
1555490195,2,1
1555497894,1,0
1555515407,0,1
1555517380,1,0
1555528858,1,0
1555532680,1,0
1555534603,1,1
1555536514,1,2
1555538592,0,1
1555542769,0,1
1555544663,2,0
1555546592,1,0
1555548513,2,0
1555556185,1,0
1555560173,1,0
1555564101,1,0
1555570341,0,1
1555574178,0,1
1555576107,1,1
1555579964,0,1
1555583960,0,2
1555585949,1,0
1555587871,0,1
1555593658,1,0
1555597482,1,0
1555618850,0,1
1555620766,1,0
1555622662,2,1
1555626150,2,1
1555627974,1,0
1555629898,1,0
1555631808,0,1
1555633967,0,1
1555635903,2,1
1555643550,0,1
1555651249,0,1
1555653143,1,0
1555657025,0,2
1555662980,1,0
1555670673,2,0
1555680264,0,1
1555686299,1,2
1555688189,0,1
1555690135,1,0
1555692041,1,1
1555699727,1,0
1555705460,0,1
1555716992,0,1
1555722762,0,1
1555724685,0,1
1555734282,0,1
1555738106,0,1
1555741979,0,1
1555757326,0,1
1555759241,1,0
1555763091,1,0
1555767170,0,1
1555771224,1,0
1555782742,0,2
1555800835,0,1
1555806509,1,0
1555810369,0,1
1555814192,0,1
1555818023,0,1
1555819944,0,1
1555827663,0,1
1555829550,0,1
1555837342,1,0
1555845164,1,0
1555850969,0,1
1555864351,1,0
1555866294,0,1
1555868175,1,0
1555870098,2,0
1555873946,1,0
1555883559,1,0
1555885467,1,0
1555888600,2,0
1555892429,0,1
1555894335,1,0
1555902150,1,0
1555907775,1,0
1555925062,0,1
1555926981,1,0
1555928915,1,0
1555930915,0,1
1555932993,1,0
1555938749,1,0
1555942580,0,1
1555950265,0,1
1555961783,1,1
1555965616,1,0
1555969473,0,1
1555973299,1,0
1555980283,0,1
1555982217,1,0
1555989869,0,1
1555997788,0,1
1555999708,0,1
1556001634,0,1
1556013155,3,0
1556015174,0,1
1556022970,0,1
1556024925,1,0
1556040500,0,1
1556042512,1,2
1556048174,1,0
1556050344,0,1
1556056374,1,0
1556059346,1,0
1556070766,1,0
1556072664,1,0
1556074593,0,1
1556084433,2,0
1556094269,0,1
1556096180,1,0
1556098119,0,1
1556100170,0,2
1556104136,0,1
1556112028,1,0
1556119979,0,1
1556125957,1,1
1556127901,2,1
1556129802,3,0
1556131702,1,0
1556133653,1,0
1556137471,1,0
1556154157,0,1
1556155975,0,1
1556169396,1,0
1556173267,0,1
1556178983,0,1
1556183807,0,1
1556187628,0,1
1556191497,0,1
1556193390,1,0
1556197346,0,1
1556205151,2,0
1556207099,0,1
1556213209,1,0
1556221526,1,0
1556231413,2,0
1556233342,3,0
1556235303,0,1
1556239222,0,1
1556250757,0,1
1556255806,0,3
1556259642,0,1
1556261602,0,1
1556273122,1,0
1556274987,1,0
1556278874,0,1
1556294222,1,0
1556304084,0,1
1556305952,0,1
1556307874,0,1
1556309831,0,1
1556313665,1,0
1556323708,0,1
1556329466,1,0
1556331417,1,0
1556360090,0,1
1556363785,1,0
1556365701,0,1
1556367656,1,0
1556371468,0,1
1556386853,0,1
1556388748,1,0
1556390660,0,2
1556398338,1,0
1556400272,0,2
1556409877,0,1
1556415641,0,1
1556417553,0,1
1556419465,0,1
1556442744,0,1
1556454282,0,1
1556469636,0,1
1556471543,1,0
1556475417,1,1
1556485403,0,1
1556496998,1,0
1556514279,0,1
1556549306,0,1
1556558921,1,1
1556560960,0,1
1556584604,0,1
1556631172,1,0
1556639084,1,0
1556641007,1,0
1556644869,3,0
1556646765,1,1
1556654500,2,0
1556660217,1,0
1556662157,1,0
1556665940,0,1
1556677733,1,0
1556704961,1,0
1556708702,1,0
1556718269,0,1
1556725959,2,0
1556727878,4,0
1556729801,0,1
1556741327,0,1
1556773733,1,0
1556775625,1,0
1556777819,1,0
1556791385,1,0
1556795300,0,1
1556799161,0,6
1556802987,1,0
1556813093,0,1
1556830334,1,0
1556855549,1,0
1556859400,0,2
1556861298,0,2
1556872839,3,0
1556894178,1,0
1556902106,0,1
1556909774,0,1
1556913688,1,0
1556929000,1,0
1556932849,0,1
1556934770,1,0
1556936662,0,1
1556952291,0,1
1556958050,0,2
1556963785,0,1
1556969789,2,0
1556973621,2,0
1556975566,1,0
1556977471,3,0
1556979397,1,2
1556981310,1,1
1556985177,0,1
1556990920,2,0
1556994770,1,0
1556996687,1,0
1557000527,0,1
1557015861,0,2
1557040816,1,0
1557056200,0,1
1557061948,0,1
1557063861,1,1
1557065801,0,1
1557077302,0,2
1557098442,1,0
1557104194,0,2
1557108162,0,2
1557109973,0,1
1557111900,0,1
1557114058,1,0
1557141884,0,1
1557149586,0,1
1557153750,0,1
1557155575,0,2
1557157487,0,1
1557170925,1,0
1557199009,1,0
1557206908,0,1
1557216539,1,0
1557224191,0,1
1557233941,1,0
1557255149,1,0
1557272673,0,1
1557274835,3,0
1557280576,1,0
1557285403,0,1
1557287305,0,1
1557302664,0,1
1557310365,0,1
1557316128,0,1
1557321852,0,1
1557323778,0,1
1557325642,1,0
1557341066,0,1
1557346837,1,0
1557355557,1,0
1557361328,2,1
1557367030,0,1
1557369177,1,0
1557373264,0,1
1557377103,1,0
1557381161,1,0
1557390982,1,0
1557406598,1,2
1557434212,0,1
1557439947,0,1
1557483162,1,0
1557493027,0,1
1557504741,2,0
1557508605,0,1
1557510531,1,0
1557514338,1,0
1557523976,0,1
1557525882,1,0
1557541706,0,1
1557557295,0,1
1557559217,0,1
1557568977,1,1
1557580355,0,1
1557586106,2,0
1557606042,1,0
1557609887,1,0
1557615778,2,0
1557621623,1,0
1557623802,1,0
1557633402,1,0
1557641078,0,1
1557645137,0,1
1557656918,1,0
1557666504,1,0
1557672258,0,2
1557682115,0,1
1557696057,0,1
1557702960,0,2
1557710673,0,1
1557733948,0,1
1557735878,1,0
1557747392,1,0
1557776417,1,0
1557778600,1,0
1557782453,1,0
1557788203,1,0
1557796129,1,0
1557807864,0,1
1557811733,1,0
1557817555,0,1
1557840993,1,1
1557847007,0,1
1557852798,1,0
1557864343,0,1
1557873896,1,1
1557883473,0,1
1557889390,1,0
1557895498,1,1
1557897413,0,1
1557901253,0,1
1557903161,0,1
1557905091,1,0
1557914753,0,3
1557922346,0,1
1557924260,1,0
1557928113,1,0
1557930056,2,0
1557933916,1,0
1557935778,1,0
1557951189,1,0
1557958844,2,0
1557968546,0,1
1557970392,1,0
1557981860,0,1
1557991700,0,1
1558003500,1,0
1558007337,0,1
1558015039,0,1
1558022978,0,2
1558028670,1,0
1558038270,1,1
1558044081,1,0
1558057464,1,0
1558059388,1,0
1558061319,1,0
1558065153,0,1
1558070912,1,0
1558086767,1,0
1558102138,0,1
1558113873,1,0
1558115782,0,1
1558119734,1,0
1558137914,0,1
1558143876,0,1
1558145818,0,1
1558166581,0,2
1558170513,0,1
1558174344,1,2
1558178178,0,1
1558187783,0,1
1558197890,1,0
1558203644,2,1
1558211299,0,1
1558217064,0,1
1558219006,0,1
1558222817,1,0
1558226691,1,0
1558234342,0,1
1558249718,0,1
1558251659,0,1
1558259310,0,1
1558268909,1,0
1558278777,0,1
1558284497,1,0
1558301773,2,0
1558336571,0,1
1558338492,1,1
1558354357,0,1
1558367789,1,0
1558369858,2,1
1558373791,0,1
1558377647,1,0
1558381473,1,0
1558383385,1,0
1558387237,1,0
1558391054,1,0
1558404745,1,0
1558422099,1,0
1558431635,0,1
1558435475,0,1
1558439301,0,1
1558446975,1,0
1558454741,1,1
1558470504,1,0
1558474377,1,0
1558476267,1,0
1558489720,0,1
1558493567,0,1
1558497415,0,1
1558512762,1,0
1558514701,0,1
1558522373,0,1
1558528108,0,1
1558530167,1,0
1558532202,2,0
1558534138,1,0
1558542348,0,1
1558550936,1,0
1558562448,1,0
1558579711,1,0
1558583545,0,1
1558591525,1,0
1558603216,1,0
1558605160,0,1
1558611401,1,0
1558617406,0,2
1558619303,0,1
1558621488,0,1
1558623384,1,0
1558627362,1,0
1558633224,0,1
1558637086,0,1
1558644742,0,1
1558649009,1,0
1558654873,1,0
1558668286,0,1
1558676188,1,0
1558691798,1,0
1558695739,0,1
1558697547,0,1
1558729480,2,0
1558738201,0,2
1558743889,0,1
1558753532,0,1
1558770771,0,1
1558776523,1,1
1558787612,0,1
1558807022,2,0
1558808921,0,1
1558810941,1,0
1558816839,0,2
1558824540,0,1
1558828370,0,1
1558838179,1,0
1558882955,0,1
1558890540,1,0
1558892423,1,0
1558923445,0,1
1558939016,0,1
1558940932,0,1
1558942828,0,1
1558949091,1,0
1558978021,0,1
1558988648,2,0
1558990520,1,0
1558996354,1,0
1559002111,1,0
1559017970,1,0
1559023703,0,1
1559029487,1,0
1559035243,1,1
