DateTime,AddedIPs,RemovedIPs
1558633322,79,79
1558633922,80,80
1558634523,80,80
1558635122,80,80
1558635722,80,80
1558636322,80,80
1558636922,80,80
1558637522,80,80
1558638123,80,80
1558638722,80,80
1558639322,80,80
1558640522,79,79
1558641123,80,80
1558641722,80,80
1558642923,80,80
1558644122,80,80
1558645322,80,80
1558645922,80,80
1558646522,80,80
1558647122,80,80
1558647723,80,80
1558648922,80,80
1558649522,80,80
1558650123,80,80
1558651322,80,80
1558651923,80,80
1558652522,80,80
1558653122,80,80
1558653722,80,80
1558654922,80,80
1558656125,80,80
1558657322,80,80
1558658523,80,80
1558659122,80,80
1558659722,80,80
1558660922,80,80
1558661523,80,80
1558662122,80,80
1558662722,80,80
1558663322,80,80
1558664522,80,80
1558665722,80,80
1558666923,80,80
1558667523,80,80
1558668123,79,79
1558668723,80,80
1558669323,80,80
1558669922,80,80
1558670522,80,80
1558671122,80,80
1558671722,80,80
1558672322,80,80
1558672922,80,80
1558673522,80,80
1558674122,80,80
1558674723,80,80
1558675323,80,80
1558675923,80,80
1558676522,80,80
1558677723,80,80
1558678922,80,80
1558679522,80,80
1558680125,80,80
1558681322,80,80
1558681922,80,80
1558682522,80,80
1558683722,80,80
1558684322,80,80
1558684922,80,80
1558685522,80,80
1558686122,80,80
1558686723,80,80
1558687322,80,80
1558688523,80,80
1558689722,80,80
1558690923,80,80
1558692122,80,80
1558693322,80,80
1558694522,80,80
1558695722,80,80
1558696323,80,80
1558696922,80,80
1558698122,80,80
1558699323,80,80
1558699923,80,80
1558700522,80,80
1558701122,80,80
1558701723,79,79
1558702322,80,80
1558702922,80,80
1558703523,80,80
1558704122,80,80
1558705322,80,80
1558706522,80,80
1558707122,80,80
1558707722,80,80
1558708322,80,80
1558708922,80,80
1558710123,80,80
1558710723,80,80
1558711322,80,80
1558712522,80,80
1558713723,80,80
1558714922,79,79
1558715522,80,80
1558716122,80,80
1558717323,80,80
1558718523,80,80
1558719122,80,80
1558719723,80,80
1558720323,80,80
1558720923,80,80
1558722123,80,80
1558722723,80,80
1558723322,80,80
1558723922,80,80
1558724522,80,80
1558725722,80,80
1558726322,80,80
1558726923,80,80
1558728122,80,80
1558728722,80,80
1558729322,80,80
1558729922,80,80
1558730523,80,80
1558731722,80,80
1558732322,80,80
1558732922,80,80
1558733522,80,80
1558734123,80,80
1558735322,80,80
1558736522,80,80
1558738322,80,80
1558738922,80,80
1558739522,80,80
1558740122,80,80
1558741322,80,80
1558741922,80,80
1558742523,80,80
1558743123,80,80
1558743723,80,80
1558744322,80,80
1558744922,80,80
1558746122,80,80
1558747322,80,80
1558747922,80,80
1558748523,80,80
1558749723,80,80
1558750323,80,80
1558750923,80,80
1558751523,80,80
1558752122,80,80
1558752723,80,80
1558753323,80,80
1558754522,80,80
1558755122,80,80
1558755722,80,80
1558756922,80,80
1558758122,80,80
1558759322,80,80
1558760522,80,80
1558761723,80,80
1558762922,80,80
1558763523,80,80
1558764122,80,80
1558764722,80,80
1558765322,80,80
1558766522,80,80
1558767722,80,80
1558768322,80,80
1558768922,80,80
1558770122,80,80
1558770723,80,80
1558771323,80,80
1558771923,80,80
1558772523,80,80
1558773722,80,80
1558774322,80,80
1558774922,80,80
1558776122,80,80
1558777323,80,80
1558777922,80,80
1558778522,80,80
1558779722,80,80
1558780923,80,80
1558782122,80,80
1558782722,80,80
1558783322,80,80
1558784523,80,80
1558785722,80,80
1558786922,80,80
1558787522,80,80
1558788123,80,80
1558789322,80,80
1558789922,80,80
1558790522,80,80
1558791722,80,80
1558792322,80,80
1558792922,80,80
1558794122,80,80
1558795322,79,79
1558795923,80,80
1558796522,80,80
1558797723,80,80
1558798923,80,80
1558799522,80,80
1558800122,80,80
1558801322,80,80
1558801922,80,80
1558802522,80,80
1558803122,80,80
1558803722,80,80
1558804922,80,80
1558805522,80,80
1558806122,80,80
1558806722,80,80
1558807322,80,80
1558807922,80,80
1558808522,80,80
1558809722,80,80
1558810922,80,80
1558812122,80,80
1558812723,80,80
1558813322,80,80
1558814522,80,80
1558815722,80,80
1558816922,80,80
1558818122,80,80
1558818723,79,79
1558819323,80,80
1558819922,80,80
1558820522,80,80
1558821723,80,80
1558822323,80,80
1558822923,80,80
1558824123,80,80
1558825322,80,80
1558825923,80,80
1558826522,80,80
1558827722,80,80
1558828322,80,80
1558828923,80,80
1558830122,80,80
1558830723,80,80
1558831322,80,80
1558831922,80,80
1558832523,80,80
1558833122,80,80
1558833722,80,80
1558834323,80,80
1558834922,80,80
1558835522,80,80
1558836123,80,80
1558837323,80,80
1558838522,80,80
1558839122,80,80
1558839723,80,80
1558840322,80,80
1558840923,80,80
1558841522,80,80
1558842123,80,80
1558843323,80,80
1558844522,80,80
1558845122,80,80
1558845723,80,80
1558846923,80,80
1558847522,80,80
1558848122,80,80
1558848723,80,80
1558849322,80,80
1558849922,80,80
1558850522,80,80
1558851122,80,80
1558851723,80,80
1558852923,80,80
1558854123,80,80
1558854723,80,80
1558855322,80,80
1558855922,80,80
1558856523,80,80
1558857123,80,80
1558857722,80,80
1558858323,80,80
1558858922,80,80
1558859523,80,80
1558860123,80,80
1558861322,80,80
1558861922,80,80
1558862522,80,80
1558863722,79,79
1558864322,79,79
1558864922,80,80
1558866122,80,80
1558867322,80,80
1558867922,80,80
1558868522,80,80
1558869722,80,80
1558870922,80,80
1558872122,80,80
1558873323,80,80
1558873922,80,80
1558874523,80,80
1558875122,80,80
1558875722,80,80
1558876323,80,80
1558876922,80,80
1558877523,80,80
1558878122,80,80
1558879322,79,79
1558879922,80,80
1558880522,80,80
1558881723,79,79
1558882322,80,80
1558882922,80,80
1558884122,80,80
1558884722,80,80
1558885322,80,80
1558886522,80,80
1558887722,80,80
1558888923,80,80
1558889522,80,80
1558890123,80,80
1558890722,80,80
1558891323,80,80
1558892523,80,80
1558893723,80,80
1558894923,80,80
1558896123,80,80
1558896722,80,80
1558897322,80,80
1558897922,80,80
1558898522,80,80
1558899723,80,80
1558900923,80,80
1558901523,80,80
1558902122,80,80
1558903322,80,80
1558904522,76,76
1558905122,80,80
1558905722,80,80
1558906922,80,80
1558908122,80,80
1558908722,80,80
1558909322,80,80
1558909922,80,80
1558910522,80,80
1558911722,80,80
1558912922,80,80
1558914122,80,80
1558915323,80,80
1558915922,80,80
1558916522,80,80
1558917122,80,80
1558917722,80,80
1558918322,80,80
1558918923,80,80
1558920123,80,80
1558920722,80,80
