DateTime,AddedIPs,RemovedIPs
1555182492,1,1
1555186110,1,0
1555189715,0,1
1555196910,1,0
1555200534,0,1
1555204105,8,1
1555207729,1,1
1555211294,1,0
1555214922,0,6
1555218505,1,1
1555225688,1,0
1555229316,1,1
1555232915,0,1
1555240082,1,2
1555247292,0,1
1555250901,1,0
1555258103,0,1
1555261706,0,1
1555265294,1,0
1555272519,1,0
1555279710,1,0
1555283301,0,1
1555286949,1,0
1555290495,10,1
1555297700,1,0
1555301308,0,19
1555304882,0,1
1555308494,1,0
1555315700,1,0
1555319308,0,1
1555322898,1,1
1555326491,1,1
1555330102,1,0
1555337306,1,1
1555340923,0,1
1555344508,0,1
1555348104,1,0
1555351698,1,1
1555355309,1,0
1555358906,0,1
1555366109,1,0
1555373338,1,1
1555376896,17,1
1555380502,1,0
1555384105,0,1
1555387700,1,21
1555391295,0,1
1555398508,1,0
1555412902,1,0
1555420108,1,0
1555423692,2,1
1555427312,0,1
1555434492,1,0
1555438094,1,2
1555441695,1,1
1555445308,0,1
1555448892,1,1
1555456109,1,0
1555459732,1,1
1555463318,21,1
1555474107,0,8
1555477707,0,1
1555484885,1,0
1555499306,0,1
1555502900,1,0
1555506511,2,0
1555510117,1,1
1555520877,1,2
1555524501,0,1
1555528093,1,1
1555531709,1,0
1555535285,0,1
1555542490,1,1
1555546123,1,1
1555549711,11,0
1555553286,0,1
1555560513,1,11
1555564115,1,0
1555571296,0,1
1555574922,1,0
1555578505,0,1
1555582127,0,1
1555589307,0,1
1555592908,1,0
1555596507,1,0
1555600110,1,0
1555603716,1,1
1555610917,1,1
1555614496,1,1
1555621724,0,1
1555628908,1,0
1555636101,20,1
1555639712,0,1
1555643297,1,1
1555646907,0,18
1555672123,0,1
1555675703,1,0
1555722505,13,0
1555733295,0,21
1555808914,12,0
1555812513,2,0
1555819702,0,10
1555823304,0,1
1555895295,24,1
1555898949,1,0
1555902520,1,0
1555906102,0,19
1555913307,1,1
1555916897,1,0
1555920498,1,1
1555924085,0,1
1555927731,1,1
1555931298,1,1
1555934913,1,0
1555938504,2,1
1555942127,1,1
1555945709,0,1
1555949309,1,0
1555952903,1,2
1555956508,1,1
1555963704,1,1
1555967303,1,1
1555970886,1,1
1555974505,0,1
1555978114,1,1
1555981702,23,0
1555985289,1,1
1555988890,1,1
1555992514,1,13
1555996099,0,1
1556003315,1,1
1556006911,1,0
1556014101,0,1
1556017720,1,1
1556021313,1,1
1556028495,0,1
1556032116,1,0
1556035724,0,1
1556039297,1,0
1556042899,0,1
1556050114,0,1
1556053692,2,0
1556057291,1,1
1556060900,1,0
1556064511,0,1
1556068096,21,0
1556071715,0,1
1556075310,2,0
1556078900,1,14
1556082499,0,1
1556086100,1,1
1556089704,0,1
1556093309,1,1
1556096910,0,1
1556100504,1,0
1556114897,0,1
1556118514,1,0
1556122107,0,1
1556125685,1,0
1556129301,0,1
1556132903,1,0
1556136492,0,1
1556140107,1,0
1556143716,0,1
1556147311,1,0
1556150945,1,0
1556154529,21,1
1556158129,0,1
1556161703,0,1
1556165300,0,24
1556240884,8,0
1556251705,1,17
1556287704,0,1
1556291297,1,0
1556327300,14,0
1556330896,1,0
1556338107,0,22
1556413745,16,0
1556417321,1,0
1556424542,0,21
1556438915,0,1
1556442530,1,0
1556456913,2,0
1556464125,0,1
1556467737,1,1
1556471324,1,1
1556478520,0,1
1556500127,10,0
1556503726,2,1
1556507331,2,0
1556510929,2,13
1556514514,1,2
1556518136,1,1
1556521713,1,2
1556525339,1,0
1556528905,0,1
1556532527,1,1
1556536132,0,1
1556539697,2,1
1556543326,2,2
1556546920,2,0
1556550521,1,1
1556557734,2,2
1556561333,2,2
1556564933,1,2
1556568518,0,2
1556572131,1,1
1556575718,1,0
1556579325,1,1
1556582933,0,1
1556586528,16,1
1556590157,2,0
1556593709,1,2
1556597328,1,16
1556600921,2,2
